year,J16.A26.precip,yield,start.water
1995,30.226,2045.605137,>250mm
1996,76.2,4369.866013,>250mm
2000,70.104,596.65507,>250mm
2001,95.631,4530.45362,>250mm
2003,34.544,3075.7496,>250mm
2008,188.976,5675.1167,>250mm
2010,58.674,3116.849267,>250mm
2011,3.556,2215.645667,>250mm
2015,105.156,1219.165567,>250mm
2016,70.104,4896.0912,>250mm
2017,81.788,3980.3159,>250mm
1997,89.916,422.35512,<250mm
1998,124.206,3313.455127,<250mm
1999,167.132,5279.812633,<250mm
2002,15.494,0,<250mm
2004,98.552,3098.541233,<250mm
2006,55.372,1435.499267,<250mm
2009,63.246,2834.7561,<250mm
2012,25.908,87.80383333,<250mm
2013,94.234,3108.2557,<250mm
2007,133.096,3485.625367,<250mm
2014,129.032,3245.0055,<250mm
2005,91.948,2280.284233,<250mm
